From,To,Volume,Cost
1,56,0,1
56,1,0,1
2,56,0,1
56,2,0,1
3,56,0,1
56,3,0,1
4,56,0,1
56,4,0,1
56,57,0,1
57,56,0,1
55,56,0,1
56,55,0,1
35,56,0,1
56,35,0,1
34,56,0,1
56,34,0,1
36,56,0,1
56,36,0,1
33,55,0,1
55,33,0,1
32,55,0,1
55,32,0,1
31,55,0,1
55,31,0,1
54,55,0,1
55,54,0,1
30,54,0,1
54,30,0,1
29,54,0,1
54,29,0,1
28,54,0,1
54,28,0,1
27,54,0,1
54,27,0,1
40,54,0,1
54,40,0,1
53,54,0,1
54,53,0,1
39,54,0,1
54,39,0,1
38,54,0,1
54,38,0,1
37,54,0,1
54,37,0,1
53,58,0,1
58,53,0,1
26,53,0,1
53,26,0,1
51,53,0,1
53,51,0,1
51,52,0,1
52,51,0,1
50,51,0,1
51,50,0,1
25,26,0,1
26,25,0,1
25,44,0,1
44,25,0,1
57,58,0,1
58,57,0,1
5,58,0,1
58,5,0,1
6,58,0,1
58,6,0,1
7,58,0,1
58,7,0,1
41,58,0,1
58,41,0,1
42,58,0,1
58,42,0,1
44,58,0,1
58,44,0,1
49,50,0,1
50,49,0,1
44,49,0,1
49,44,0,1
49,60,0,1
60,49,0,1
43,44,0,1
44,43,0,1
44,45,0,1
45,44,0,1
23,44,0,1
44,23,0,1
8,45,0,1
45,8,0,1
9,45,0,1
45,9,0,1
10,45,0,1
45,10,0,1
22,45,0,1
45,22,0,1
24,45,0,1
45,24,0,1
45,46,0,1
46,45,0,1
22,46,0,1
46,22,0,1
22,23,0,1
23,22,0,1
46,47,0,1
47,46,0,1
11,46,0,1
46,11,0,1
12,47,0,1
47,12,0,1
13,47,0,1
47,13,0,1
14,47,0,1
47,14,0,1
47,48,0,1
48,47,0,1
21,47,0,1
47,21,0,1
15,48,0,1
48,15,0,1
48,59,0,1
59,48,0,1
16,59,0,1
59,16,0,1
59,60,0,1
60,59,0,1
19,59,0,1
59,19,0,1
20,59,0,1
59,20,0,1
18,60,0,1
60,18,0,1
17,60,0,1
60,17,0,1
